mp-1008653,107.0
mp-1008866,59.0
mp-1008903,76.0
mp-1009834,155.0
mp-10102,32.0
mp-1017985,111.0
mp-1018020,72.0
mp-1018026,44.0
mp-1018033,137.0
mp-1018128,86.0
mp-1018166,224.0
mp-10413,33.0
mp-10597,88.0
mp-10667,56.0
mp-10886,102.0
mp-10903,186.0
mp-10905,153.0
mp-11022,123.0
mp-11228,60.0
mp-11236,76.0
mp-11237,82.0
mp-11239,106.0
mp-11872,76.0
mp-11947,69.0
mp-12015,50.0
mp-12065,120.0
mp-12277,61.0
mp-12359,52.0
mp-12360,50.0
mp-12532,37.0
mp-12665,113.0
mp-12725,190.0
mp-12752,108.0
mp-12794,90.0
mp-12903,41.0
mp-12908,62.0
mp-13155,111.0
mp-13156,117.0
mp-13270,48.0
mp-134,83.0
mp-1387,159.0
mp-1391,74.0
mp-13910,51.0
mp-14091,52.0
mp-14092,42.0
mp-14099,81.0
mp-1482,108.0
mp-1487,162.0
mp-1490,127.0
mp-1501,199.0
mp-1502,129.0
mp-1591,160.0
mp-1592,52.0
mp-16236,27.0
mp-16238,47.0
mp-1648,96.0
mp-16488,106.0
mp-16514,167.0
mp-16522,112.0
mp-16718,107.0
mp-16913,29.0
mp-16960,206.0
mp-1700,195.0
mp-173,104.0
mp-17659,56.0
mp-17862,65.0
mp-1814,50.0
mp-18427,161.0
mp-1885,229.0
mp-1903,51.0
mp-19069,127.0
mp-1912,91.0
mp-19225,131.0
mp-19378,140.0
mp-19405,126.0
mp-1961,101.0
mp-1982,133.0
mp-19833,52.0
mp-20554,45.0
mp-21505,66.0
mp-2151,50.0
mp-2221,101.0
mp-2254,201.0
mp-22660,109.0
mp-2273,65.0
mp-2284,32.0
mp-22894,25.0
mp-22919,32.0
mp-22922,43.0
mp-22925,20.0
mp-22993,27.0
mp-23231,40.0
mp-23485,11.0
mp-23558,100.0
mp-2410,59.0
mp-2426,61.0
mp-2451,72.0
mp-2474,62.0
mp-2554,120.0
mp-2624,49.0
mp-2696,65.0
mp-27227,74.0
mp-27821,53.0
mp-284,179.0
mp-28610,12.0
mp-29659,51.0
mp-29678,61.0
mp-2977,16.0
mp-29816,40.0
mp-30337,124.0
mp-30341,78.0
mp-30344,27.0
mp-30349,94.0
mp-30352,67.0
mp-30353,205.0
mp-30354,92.0
mp-30355,28.0
mp-30357,21.0
mp-30362,92.0
mp-30727,69.0
mp-30737,58.0
mp-31018,35.0
mp-31169,97.0
mp-31171,102.0
mp-331,78.0
mp-34418,23.0
mp-3477,66.0
mp-3527,50.0
mp-364,196.0
mp-395,103.0
mp-4182,77.0
mp-4198,75.0
mp-4483,65.0
mp-4899,41.0
mp-5014,42.0
mp-5058,58.0
mp-5342,61.0
mp-538,20.0
mp-542065,70.0
mp-542496,64.0
mp-550,91.0
mp-551,42.0
mp-5518,50.0
mp-552185,35.0
mp-555166,33.0
mp-555477,88.0
mp-556094,36.0
mp-557862,46.0
mp-559847,40.0
mp-5615,53.0
mp-567347,84.0
mp-567558,21.0
mp-567705,109.0
mp-568404,31.0
mp-568607,121.0
mp-569114,29.0
mp-570256,14.0
mp-571053,119.0
mp-571454,28.0
mp-571594,15.0
mp-5729,86.0
mp-578,71.0
mp-5782,63.0
mp-5821,75.0
mp-603,129.0
mp-621131,123.0
mp-622209,113.0
mp-643431,9.0
mp-646824,50.0
mp-6954,40.0
mp-7359,43.0
mp-7366,40.0
mp-7387,27.0
mp-752826,166.0
mp-752927,80.0
mp-753326,63.0
mp-754326,56.0
mp-754531,107.0
mp-754954,23.0
mp-758302,62.0
mp-758604,49.0
mp-7643,14.0
mp-7711,84.0
mp-775761,32.0
mp-776150,132.0
mp-776165,126.0
mp-7878,51.0
mp-7879,47.0
mp-7880,60.0
mp-7882,47.0
mp-7885,76.0
mp-813,88.0
mp-8200,62.0
mp-8566,86.0
mp-8579,50.0
mp-8603,24.0
mp-862366,72.0
mp-862431,124.0
mp-862432,122.0
mp-862702,78.0
mp-862703,93.0
mp-862716,62.0
mp-864598,46.0
mp-864794,90.0
mp-864932,91.0
mp-864952,48.0
mp-864976,100.0
mp-864978,73.0
mp-865502,99.0
mp-865527,72.0
mp-865561,90.0
mp-865919,78.0
mp-865963,48.0
mp-866162,63.0
mp-866291,28.0
mp-8666,22.0
mp-867163,41.0
mp-867303,126.0
mp-869,133.0
mp-875,236.0
mp-8911,46.0
mp-944,185.0
mp-9472,65.0
mp-9490,34.0
mp-9631,154.0
mp-971703,171.0
mp-972882,76.0
mp-972907,79.0
mp-973088,45.0
mp-973174,47.0
mp-973185,132.0
mp-976229,65.0
mp-976408,17.0
mp-976772,64.0
mp-977126,21.0
mp-977554,86.0
mp-9778,23.0
mp-978498,52.0
mp-979294,112.0
mp-981749,110.0
mp-984351,91.0
mp-985295,85.0
mp-985296,99.0
mp-985805,94.0
mp-985806,100.0
mp-985828,64.0
mp-996964,140.0
mp-996965,87.0
mp-996975,106.0
mp-996979,68.0
mp-996980,91.0
mp-996983,65.0
mp-996990,82.0
mp-996992,74.0
mp-996995,86.0
mp-997006,123.0
mp-997010,88.0
mp-997030,116.0
mp-997084,23.0
mp-997085,126.0
mp-997086,77.0
mp-997100,80.0
mp-997108,28.0
mp-998201,32.0
mp-998414,88.0
mp-998554,32.0
mp-10010,175.0
