mp-10006,-2.5
mp-10018,0.97
mp-1008555,-10.07
mp-1008601,-23.06
mp-1008617,2.66
mp-1008653,1.88
mp-1008753,0.49
mp-1008813,-16.15
mp-1008866,2.07
mp-1008903,8.15
mp-1008912,-5.19
mp-1009048,-5.83
mp-1009834,0.39
mp-10102,22.34
mp-1017985,0.8
mp-1018020,0.67
mp-1018025,3.88
mp-1018026,1.45
mp-1018033,2.56
mp-1018128,1.65
mp-1018166,0.91
mp-10413,3.99
mp-10597,0.24
mp-10667,0.29
mp-10871,1.11
mp-10886,2.23
mp-10903,11.22
mp-10905,0.11
mp-10965,0.92
mp-11022,5.1
mp-11107,2.75
mp-11222,0.16
mp-11228,3.16
mp-11234,0.21
mp-11235,0.11
mp-11236,26.93
mp-11237,0.86
mp-11239,1.06
mp-11478,35.63
mp-11841,1.37
mp-11872,2.62
mp-11947,4.37
mp-12015,1.14
mp-12062,-41.78
mp-12063,0.15
mp-12065,1.54
mp-12277,0.03
mp-12359,2.29
mp-12360,0.62
mp-12505,0.22
mp-12524,-9.43
mp-12532,1.36
mp-1259,0.06
mp-12665,30.52
mp-12725,1.19
mp-12752,0.06
mp-12766,-8.71
mp-12794,0.53
mp-12903,0.74
mp-12908,1.07
mp-12953,0.13
mp-13155,0.57
mp-13156,1.38
mp-13270,0.56
mp-134,0.68
mp-1387,16.75
mp-1391,1.63
mp-13910,0.36
mp-14091,0.65
mp-14092,0.7
mp-14099,0.34
mp-1482,0.16
mp-1487,1.99
mp-1490,2.27
mp-1501,0.36
mp-1502,0.15
mp-1591,0.2
mp-1592,0.41
mp-16236,0.22
mp-16238,7.54
mp-1648,0.0
mp-16488,0.13
mp-16513,1.34
mp-16514,1.36
mp-16522,0.19
mp-16718,0.2
mp-16745,0.21
mp-16766,1.13
mp-16913,0.89
mp-16960,0.27
mp-1700,1.26
mp-1723,0.2
mp-173,0.21
mp-17659,0.11
mp-17862,0.53
mp-1814,1.15
mp-18427,0.07
mp-1885,0.05
mp-1903,0.06
mp-19069,4.22
mp-1912,11.43
mp-19225,4.98
mp-19318,6.76
mp-19378,5.03
mp-19405,1.42
mp-1948,1.59
mp-1961,1.63
mp-1982,0.03
mp-19833,1.22
mp-19974,-90.7
mp-20384,0.17
mp-20522,0.19
mp-20554,1.0
mp-20898,4.43
mp-21198,0.15
mp-2120,1.16
mp-21505,0.26
mp-2151,0.31
mp-2221,1.47
mp-2233,1.26
mp-2247,893.05
mp-2254,0.17
mp-22660,4.06
mp-22707,0.27
mp-2273,0.21
mp-2284,11.23
mp-22894,0.37
mp-22915,-5.12
mp-22919,0.02
mp-22922,0.1
mp-22925,11.89
mp-22993,1.68
mp-23231,0.46
mp-23288,1.58
mp-23485,1.24
mp-23558,0.35
mp-2358,0.12
mp-2410,0.15
mp-24147,1.12
mp-2426,8.07
mp-2451,0.39
mp-2474,0.43
mp-2525,2.34
mp-2554,0.25
mp-2573,0.23
mp-2618,1.03
mp-2624,0.34
mp-2642,-30.42
mp-2696,1.83
mp-27227,1.08
mp-27821,0.41
mp-27971,0.55
mp-27972,0.62
